Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
HIST1H2AJ,1.74E-01,4.26E-01,1.36E+00
HNRNPA1,1.72E-02,9.82E-02,1.36E+00
RPS3AP26,1.45E-01,3.81E-01,1.36E+00
CEP128,7.64E-02,2.59E-01,1.36E+00
CMTM8,5.28E-03,4.33E-02,1.36E+00
TBC1D32,2.99E-01,5.73E-01,1.36E+00
UPF1,4.34E-03,3.78E-02,1.36E+00
AF201337.1,8.27E-02,2.72E-01,1.36E+00
OFD1P17,1.58E-01,4.02E-01,1.35E+00
DUSP6,2.01E-01,4.60E-01,1.35E+00
E2F7,4.92E-02,1.98E-01,1.35E+00
CNPY4,5.00E-01,7.53E-01,1.35E+00
ETV4,6.35E-02,2.31E-01,1.35E+00
RBMXL1,5.87E-02,2.20E-01,1.35E+00
LYRM4,1.02E-02,6.91E-02,1.35E+00
AFG3L2P1,4.31E-01,6.96E-01,1.35E+00
ZFAS1,2.44E-01,5.10E-01,1.35E+00
ZNF516,2.16E-01,4.78E-01,1.35E+00
AC127459.1,3.17E-01,5.91E-01,1.35E+00
MED31,3.65E-04,6.41E-03,1.35E+00
POFUT1,6.55E-02,2.36E-01,1.35E+00
RAB33B,2.25E-01,4.87E-01,1.35E+00
AL365203.2,5.55E-01,7.90E-01,1.35E+00
SRFBP1,3.86E-03,3.49E-02,1.35E+00
PHF1,2.32E-01,4.95E-01,1.35E+00
WDR48,3.22E-02,1.51E-01,1.35E+00
HARBI1,2.06E-01,4.67E-01,1.35E+00
SEH1L,2.85E-01,5.59E-01,1.35E+00
ZNF354A,1.25E-01,3.48E-01,1.35E+00
PLD1,6.66E-02,2.38E-01,1.35E+00
PFN1,6.42E-01,8.43E-01,1.35E+00
AP4M1,6.73E-02,2.39E-01,1.35E+00
DSCC1,4.52E-02,1.87E-01,1.35E+00
MFSD8,6.02E-02,2.23E-01,1.35E+00
ATG14,4.66E-02,1.90E-01,1.35E+00
ANKRD37,6.45E-01,8.45E-01,1.35E+00
AC106886.5,1.11E-01,3.27E-01,1.35E+00
MKNK1,9.64E-02,2.99E-01,1.35E+00
PRORSD1P,4.18E-01,6.85E-01,1.35E+00
PCMTD2,6.54E-02,2.36E-01,1.35E+00
PET100,2.65E-03,2.69E-02,1.35E+00
EPS8L1,3.70E-01,6.42E-01,1.35E+00
HLA-E,9.96E-04,1.30E-02,1.35E+00
SNHG14,2.96E-03,2.88E-02,1.35E+00
MRPL1,3.10E-02,1.47E-01,1.35E+00
AC023906.1,2.00E-03,2.17E-02,1.35E+00
CREB1,2.71E-03,2.72E-02,1.35E+00
GLA,8.25E-02,2.72E-01,1.35E+00
C19orf70,1.20E-02,7.76E-02,1.35E+00
CD82,1.80E-01,4.33E-01,1.35E+00
TK1,9.04E-03,6.36E-02,1.35E+00
REXO2,1.84E-01,4.38E-01,1.35E+00
AC002401.4,9.72E-01,9.91E-01,1.35E+00
AC004057.1,6.18E-01,8.29E-01,1.35E+00
CEP250,1.20E-02,7.77E-02,1.35E+00
ZNF300,2.39E-01,5.03E-01,1.35E+00
TSEN34,7.36E-05,1.98E-03,1.35E+00
AGAP12P,7.67E-01,9.14E-01,1.35E+00
DNPEP,7.50E-03,5.57E-02,1.35E+00
MAGT1,3.75E-04,6.53E-03,1.35E+00
PLIN3,5.59E-03,4.50E-02,1.35E+00
CDC42EP3,6.35E-03,4.94E-02,1.35E+00
GTF2H1,8.98E-03,6.34E-02,1.35E+00
SLC9A3-AS1,2.91E-01,5.64E-01,1.35E+00
AC007688.1,4.36E-01,7.01E-01,1.35E+00
CTNNAL1,4.89E-04,7.91E-03,1.35E+00
ABLIM3,1.48E-01,3.86E-01,1.35E+00
IRX5,3.32E-01,6.08E-01,1.35E+00
AASDH,8.47E-02,2.77E-01,1.35E+00
TSPAN10,4.07E-01,6.75E-01,1.35E+00
CUL9,1.97E-01,4.55E-01,1.35E+00
FASTKD3,2.53E-01,5.20E-01,1.35E+00
LINC00294,8.18E-02,2.71E-01,1.35E+00
HOMER1,2.84E-03,2.80E-02,1.34E+00
CSTF2T,4.28E-02,1.81E-01,1.34E+00
CCDC142,2.05E-01,4.65E-01,1.34E+00
CCDC93,4.60E-03,3.93E-02,1.34E+00
MACO1,1.46E-02,8.84E-02,1.34E+00
RPL23AP48,2.16E-01,4.79E-01,1.34E+00
SSRP1,3.92E-05,1.26E-03,1.34E+00
ABHD8,4.59E-01,7.20E-01,1.34E+00
MPV17L2,2.18E-01,4.80E-01,1.34E+00
SPPL3,2.87E-02,1.40E-01,1.34E+00
CFAP36,2.23E-03,2.36E-02,1.34E+00
AC092910.3,2.34E-01,4.98E-01,1.34E+00
IPO7P1,2.12E-01,4.74E-01,1.34E+00
C8orf59,2.72E-02,1.35E-01,1.34E+00
MANSC1,4.65E-01,7.24E-01,1.34E+00
ZFAND1,1.27E-01,3.51E-01,1.34E+00
C1GALT1C1,1.45E-01,3.82E-01,1.34E+00
MBD1,2.45E-01,5.11E-01,1.34E+00
AC040169.1,3.38E-01,6.12E-01,1.34E+00
TCF7,1.51E-01,3.91E-01,1.34E+00
SIN3B,3.78E-02,1.67E-01,1.34E+00
MIA3,7.97E-04,1.12E-02,1.34E+00
SIDT2,2.73E-01,5.45E-01,1.34E+00
RTCB,2.20E-03,2.34E-02,1.34E+00
ACVR1,3.93E-01,6.63E-01,1.34E+00
AC007485.2,1.35E-01,3.64E-01,1.34E+00
UEVLD,3.43E-02,1.57E-01,1.34E+00
RP2,3.15E-01,5.89E-01,1.34E+00
UBA6,1.07E-02,7.18E-02,1.34E+00
RNF141,2.08E-02,1.11E-01,1.34E+00
CDC23,1.69E-01,4.18E-01,1.34E+00
ZFYVE28,3.35E-01,6.10E-01,1.34E+00
MOB2,2.61E-02,1.31E-01,1.34E+00
AKAP5,2.58E-01,5.27E-01,1.34E+00
RN7SKP30,3.42E-01,6.16E-01,1.34E+00
COA5,8.68E-02,2.81E-01,1.34E+00
CYP20A1,5.42E-02,2.10E-01,1.34E+00
INTS4,1.14E-01,3.30E-01,1.34E+00
DSE,5.17E-02,2.04E-01,1.34E+00
TVP23CP2,1.47E-01,3.84E-01,1.34E+00
NHEJ1,2.85E-01,5.59E-01,1.34E+00
MYBBP1A,2.44E-04,4.83E-03,1.34E+00
ZNF185,3.72E-01,6.43E-01,1.34E+00
WARS2,1.84E-01,4.39E-01,1.34E+00
ANKRD12,9.09E-02,2.88E-01,1.34E+00
CBR1,2.73E-03,2.74E-02,1.34E+00
SLC25A23,1.25E-02,7.97E-02,1.34E+00
AC087633.2,8.49E-01,9.49E-01,1.34E+00
BBS10,3.79E-01,6.50E-01,1.34E+00
EFNB2,9.94E-02,3.05E-01,1.34E+00
AC140479.2,4.11E-01,6.78E-01,1.34E+00
MSL3P1,3.62E-02,1.63E-01,1.34E+00
SNHG15,8.30E-02,2.73E-01,1.34E+00
EEF1B2P2,6.93E-01,8.75E-01,1.34E+00
TTC5,3.90E-01,6.60E-01,1.34E+00
HS3ST1,5.15E-01,7.62E-01,1.34E+00
NPHP3,1.21E-01,3.43E-01,1.34E+00
FSD1L,1.52E-01,3.92E-01,1.34E+00
UNC50,3.38E-01,6.12E-01,1.34E+00
POLR3H,1.45E-01,3.81E-01,1.34E+00
NDUFAF2,6.34E-04,9.61E-03,1.34E+00
MAP2K2,1.19E-02,7.72E-02,1.34E+00
ARL16,3.28E-01,6.03E-01,1.33E+00
GAB2,2.89E-01,5.63E-01,1.33E+00
AC122718.1,1.59E-01,4.03E-01,1.33E+00
CYFIP2,9.66E-02,2.99E-01,1.33E+00
EMSY,4.44E-02,1.85E-01,1.33E+00
NIT1,1.95E-01,4.52E-01,1.33E+00
RRM1,6.10E-02,2.25E-01,1.33E+00
HNRNPKP2,2.20E-01,4.82E-01,1.33E+00
AC007283.2,8.75E-01,9.57E-01,1.33E+00
PCNT,9.92E-04,1.29E-02,1.33E+00
ACTR8,4.48E-02,1.86E-01,1.33E+00
FAM193B,2.15E-01,4.77E-01,1.33E+00
AC245297.3,1.31E-01,3.58E-01,1.33E+00
WDR18,1.40E-02,8.59E-02,1.33E+00
EEF1DP1,5.33E-02,2.08E-01,1.33E+00
ACSL4,9.59E-03,6.62E-02,1.33E+00
RFX2,1.84E-01,4.39E-01,1.33E+00
WRN,1.24E-02,7.97E-02,1.33E+00
GSEC,5.01E-01,7.54E-01,1.33E+00
JMY,1.37E-02,8.44E-02,1.33E+00
CD320,7.06E-03,5.34E-02,1.33E+00
RAVER1,8.08E-02,2.69E-01,1.33E+00
NOL7,8.85E-03,6.29E-02,1.33E+00
ALDH7A1,1.81E-02,1.02E-01,1.33E+00
NDC80,3.57E-02,1.62E-01,1.33E+00
NAT1,8.25E-01,9.39E-01,1.33E+00
OARD1,4.72E-02,1.91E-01,1.33E+00
DZIP3,1.14E-02,7.47E-02,1.33E+00
HARS2,1.11E-01,3.27E-01,1.33E+00
TM7SF2,1.26E-01,3.51E-01,1.33E+00
LAMC1,4.20E-04,7.12E-03,1.33E+00
DRG2,2.26E-02,1.18E-01,1.33E+00
ZBED8,2.37E-01,5.01E-01,1.33E+00
CBWD5,2.15E-01,4.77E-01,1.33E+00
TTC3,1.57E-04,3.50E-03,1.33E+00
UBA52,1.20E-02,7.74E-02,1.33E+00
ZNF488,2.13E-01,4.75E-01,1.33E+00
TMEM161A,9.23E-02,2.91E-01,1.33E+00
HNRNPA1P48,5.03E-02,2.00E-01,1.33E+00
UBE2NL,6.11E-01,8.26E-01,1.33E+00
BMP2K,5.43E-02,2.10E-01,1.33E+00
SHQ1,3.23E-02,1.51E-01,1.33E+00
NNMT,2.66E-02,1.33E-01,1.33E+00
GLTP,3.39E-02,1.56E-01,1.33E+00
NTPCR,1.05E-03,1.34E-02,1.33E+00
VCAN,6.93E-02,2.44E-01,1.33E+00
GNE,2.75E-01,5.47E-01,1.33E+00
NOA1,1.42E-01,3.77E-01,1.33E+00
TBC1D9,1.75E-01,4.26E-01,1.33E+00
TRIM68,1.52E-01,3.92E-01,1.33E+00
TAF9,1.96E-01,4.54E-01,1.33E+00
ZNF619,3.30E-01,6.05E-01,1.33E+00
YIPF5,5.88E-04,9.05E-03,1.33E+00
USP21,2.53E-01,5.21E-01,1.33E+00
CCDC24,2.22E-01,4.85E-01,1.33E+00
KLHL24,1.63E-01,4.09E-01,1.33E+00
TMEM242,2.79E-01,5.52E-01,1.33E+00
APP,7.97E-03,5.83E-02,1.33E+00
HSPA13,1.40E-01,3.73E-01,1.33E+00
RPS17P5,7.14E-01,8.85E-01,1.33E+00
RPS29P5,9.08E-01,9.67E-01,1.33E+00
DOLPP1,4.45E-01,7.09E-01,1.33E+00
ITGAV,6.82E-03,5.19E-02,1.33E+00
MOCS2,3.24E-03,3.07E-02,1.33E+00
HSPB11,2.61E-01,5.30E-01,1.33E+00
SGMS2,9.67E-02,2.99E-01,1.33E+00
PAXIP1-AS2,1.39E-01,3.72E-01,1.33E+00
PROCR,2.90E-01,5.64E-01,1.33E+00
ATOX1,1.48E-02,8.90E-02,1.33E+00
RPL7P9,4.91E-01,7.46E-01,1.33E+00
TCEAL8,4.79E-03,4.04E-02,1.33E+00
ATP2B1,7.97E-04,1.12E-02,1.33E+00
CDC42,1.72E-01,4.22E-01,1.33E+00
PANX1,7.79E-02,2.62E-01,1.33E+00
APC,6.49E-04,9.80E-03,1.33E+00
TPD52,2.34E-03,2.44E-02,1.33E+00
EEPD1,2.11E-01,4.73E-01,1.33E+00
FHL3,2.68E-01,5.39E-01,1.33E+00
GOLGA8A,8.51E-01,9.50E-01,1.33E+00
EXOC3-AS1,2.00E-01,4.60E-01,1.32E+00
CEP76,1.63E-01,4.08E-01,1.32E+00
PCNX3,8.66E-01,9.54E-01,1.32E+00
HMGB3,1.63E-04,3.60E-03,1.32E+00
EIF3F,3.45E-05,1.14E-03,1.32E+00
GID8,5.63E-02,2.14E-01,1.32E+00
TMEM65,7.46E-02,2.56E-01,1.32E+00
DYNLT3,3.46E-02,1.58E-01,1.32E+00
AL031729.1,3.75E-01,6.46E-01,1.32E+00
CCDC88C,8.88E-02,2.85E-01,1.32E+00
BORCS8,2.44E-02,1.24E-01,1.32E+00
BTF3,6.52E-03,5.02E-02,1.32E+00
NMB,3.07E-02,1.46E-01,1.32E+00
TMEM126A,1.83E-01,4.38E-01,1.32E+00
GPATCH1,2.26E-02,1.18E-01,1.32E+00
ALDH6A1,2.34E-01,4.97E-01,1.32E+00
SMARCE1P6,2.27E-01,4.90E-01,1.32E+00
GIN1,2.64E-01,5.35E-01,1.32E+00
AC008982.2,2.51E-01,5.19E-01,1.32E+00
CRADD,3.55E-01,6.29E-01,1.32E+00
AC139530.1,1.45E-01,3.81E-01,1.32E+00
ZNF791,1.49E-02,8.95E-02,1.32E+00
GFOD2,4.83E-03,4.06E-02,1.32E+00
FLVCR1,6.83E-02,2.41E-01,1.32E+00
PPP3CA,1.45E-03,1.73E-02,1.32E+00
BORCS6,1.78E-01,4.30E-01,1.32E+00
IQCJ-SCHIP1,7.52E-01,9.06E-01,1.32E+00
CEP192,1.02E-02,6.91E-02,1.32E+00
TCEAL3,6.53E-02,2.35E-01,1.32E+00
RUNX1,1.27E-01,3.51E-01,1.32E+00
FAM76B,3.57E-02,1.61E-01,1.32E+00
SEC14L1,3.15E-01,5.89E-01,1.32E+00
FKBP11,2.43E-01,5.08E-01,1.32E+00
MBNL1,6.90E-02,2.43E-01,1.32E+00
BRD4,5.93E-05,1.69E-03,1.32E+00
RPS15,1.54E-02,9.15E-02,1.32E+00
ZNF449,2.03E-01,4.62E-01,1.32E+00
TMEM69,1.73E-01,4.23E-01,1.32E+00
C1orf35,6.52E-03,5.02E-02,1.32E+00
MFSD10,9.60E-04,1.26E-02,1.32E+00
HIST1H2AB,5.76E-01,8.04E-01,1.32E+00
LINS1,1.16E-01,3.35E-01,1.32E+00
HMGB3P6,8.36E-02,2.74E-01,1.32E+00
CDC25B,1.90E-04,4.08E-03,1.32E+00
ATP8B1,1.49E-02,8.93E-02,1.32E+00
CDKN2AIPNL,1.09E-01,3.22E-01,1.32E+00
TM9SF1,6.20E-03,4.86E-02,1.32E+00
AAAS,9.44E-03,6.56E-02,1.32E+00
LRP12,9.88E-02,3.04E-01,1.32E+00
RPL36AL,3.05E-01,5.79E-01,1.32E+00
RPL27A,3.74E-03,3.42E-02,1.32E+00
PTMAP3,2.00E-01,4.60E-01,1.32E+00
ZNF562,2.53E-02,1.27E-01,1.32E+00
OLA1,6.79E-04,1.01E-02,1.32E+00
ZBTB1,2.36E-02,1.21E-01,1.32E+00
NAP1L1P3,1.36E-02,8.42E-02,1.32E+00
CLCC1,2.59E-02,1.30E-01,1.32E+00
AL356653.1,1.84E-01,4.38E-01,1.32E+00
BAX,2.07E-01,4.68E-01,1.32E+00
CSNK1G3,1.07E-04,2.63E-03,1.32E+00
CEP19,1.71E-01,4.20E-01,1.32E+00
LXN,8.81E-01,9.60E-01,1.32E+00
NAP1L4P1,1.09E-01,3.22E-01,1.32E+00
RABGGTB,1.80E-01,4.33E-01,1.32E+00
ATP13A1,1.05E-01,3.16E-01,1.32E+00
BIRC3,1.19E-03,1.49E-02,1.32E+00
IPO11,6.10E-02,2.25E-01,1.32E+00
KLF16,3.77E-02,1.67E-01,1.32E+00
MLLT3,2.60E-03,2.65E-02,1.32E+00
APEX1,1.23E-03,1.52E-02,1.32E+00
NUDT21,9.47E-02,2.96E-01,1.32E+00
POU2F1,2.22E-02,1.17E-01,1.32E+00
FAM13B,1.05E-01,3.15E-01,1.32E+00
MDP1,3.28E-02,1.53E-01,1.32E+00
TXNDC15,7.46E-02,2.56E-01,1.32E+00
EIF4A2,2.91E-02,1.41E-01,1.32E+00
MKL1,1.26E-01,3.50E-01,1.32E+00
TRIM44,5.39E-04,8.54E-03,1.32E+00
RRBP1,2.06E-02,1.11E-01,1.32E+00
PXN-AS1,5.15E-01,7.62E-01,1.32E+00
MAZ,1.75E-01,4.26E-01,1.32E+00
RASSF8,8.17E-02,2.71E-01,1.32E+00
KIAA0556,6.34E-01,8.39E-01,1.32E+00
TJAP1,2.84E-01,5.57E-01,1.32E+00
MAP9,3.28E-02,1.53E-01,1.31E+00
UBXN2B,1.56E-01,3.99E-01,1.31E+00
CHD1,1.17E-02,7.60E-02,1.31E+00
CEP295,1.24E-02,7.97E-02,1.31E+00
GTF3C4,4.18E-04,7.09E-03,1.31E+00
AC090281.1,6.83E-02,2.41E-01,1.31E+00
RPS20P10,6.03E-01,8.21E-01,1.31E+00
FAM199X,5.17E-02,2.04E-01,1.31E+00
EIF3G,1.25E-03,1.55E-02,1.31E+00
IKZF4,2.16E-01,4.78E-01,1.31E+00
SNRPF,5.40E-01,7.77E-01,1.31E+00
SREBF1,2.70E-01,5.41E-01,1.31E+00
GTF2B,2.04E-01,4.64E-01,1.31E+00
RPL23,2.01E-01,4.60E-01,1.31E+00
PYURF,8.54E-03,6.14E-02,1.31E+00
MFSD1,1.45E-01,3.81E-01,1.31E+00
RNFT1,2.60E-01,5.29E-01,1.31E+00
HADH,1.20E-01,3.41E-01,1.31E+00
LINC01589,6.48E-02,2.34E-01,1.31E+00
ZNF587B,3.05E-02,1.46E-01,1.31E+00
APPL2,5.46E-02,2.10E-01,1.31E+00
SMIM15,2.26E-03,2.39E-02,1.31E+00
HMGN5,1.38E-01,3.69E-01,1.31E+00
CDC14B,1.36E-01,3.66E-01,1.31E+00
SPTY2D1OS,3.57E-01,6.31E-01,1.31E+00
TMEM131,3.05E-02,1.46E-01,1.31E+00
NUP54,1.79E-01,4.31E-01,1.31E+00
DHDDS,6.33E-02,2.30E-01,1.31E+00
ANKRD44,3.60E-01,6.34E-01,1.31E+00
RSBN1,1.49E-01,3.87E-01,1.31E+00
SMS,2.23E-01,4.85E-01,1.31E+00
BBC3,2.39E-02,1.23E-01,1.31E+00
MT-TR,3.84E-01,6.55E-01,1.31E+00
CSNK1G2,8.24E-04,1.14E-02,1.31E+00
CTU2,1.53E-01,3.93E-01,1.31E+00
EVC2,3.80E-01,6.51E-01,1.31E+00
TMEM263,4.29E-02,1.81E-01,1.31E+00
PLEKHG4,1.05E-01,3.15E-01,1.31E+00
TGFB1,1.09E-01,3.24E-01,1.31E+00
TMED9,3.51E-02,1.60E-01,1.31E+00
HMGCS1,4.84E-02,1.95E-01,1.31E+00
GMPR2,3.14E-02,1.48E-01,1.31E+00
DENND5A,1.60E-01,4.05E-01,1.31E+00
ERAP1,1.75E-01,4.26E-01,1.31E+00
ZNF358,1.94E-01,4.52E-01,1.31E+00
HMGN2P4,1.21E-01,3.43E-01,1.31E+00
SRR,2.06E-01,4.66E-01,1.31E+00
TRAF6,4.35E-01,6.99E-01,1.31E+00
SPIN3,2.86E-01,5.60E-01,1.31E+00
ARMCX3,7.00E-02,2.45E-01,1.31E+00
PLEKHH3,2.54E-01,5.22E-01,1.31E+00
PRKDC,4.57E-04,7.56E-03,1.31E+00
ZNF286A,1.97E-02,1.08E-01,1.31E+00
AC245060.5,2.00E-01,4.59E-01,1.31E+00
HAUS7,9.77E-02,3.01E-01,1.31E+00
TREX1,8.52E-01,9.50E-01,1.31E+00
NPM1P39,1.01E-01,3.07E-01,1.31E+00
MFSD9,1.15E-01,3.33E-01,1.31E+00
ATG4C,1.46E-01,3.82E-01,1.31E+00
OSBPL8,1.07E-02,7.17E-02,1.31E+00
NSD1,2.78E-03,2.77E-02,1.31E+00
NPAS2,8.02E-02,2.67E-01,1.31E+00
ARFGAP2,6.04E-02,2.24E-01,1.31E+00
AC026979.2,2.17E-01,4.79E-01,1.31E+00
OMA1,6.18E-02,2.27E-01,1.31E+00
CCNB1,1.42E-05,5.81E-04,1.31E+00
PDCL3,7.77E-02,2.62E-01,1.31E+00
TUBD1,5.21E-02,2.05E-01,1.31E+00
DPAGT1,1.16E-02,7.57E-02,1.31E+00
L2HGDH,1.02E-01,3.08E-01,1.31E+00
MAST4,5.05E-02,2.01E-01,1.31E+00
PDCD6IP,1.39E-01,3.72E-01,1.31E+00
AHCY,4.20E-01,6.86E-01,1.30E+00
AL513175.1,5.10E-01,7.59E-01,1.30E+00
NUDT11,4.99E-01,7.53E-01,1.30E+00
METTL14,4.83E-02,1.95E-01,1.30E+00
CACTIN,2.21E-01,4.84E-01,1.30E+00
INSR,2.00E-01,4.59E-01,1.30E+00
SH3KBP1,4.07E-03,3.62E-02,1.30E+00
FAM83G,5.12E-02,2.03E-01,1.30E+00
SLC25A22,5.97E-01,8.17E-01,1.30E+00
KXD1,1.11E-02,7.34E-02,1.30E+00
AC067852.2,1.21E-01,3.42E-01,1.30E+00
CEP78,2.78E-04,5.32E-03,1.30E+00
EIF6,2.47E-02,1.25E-01,1.30E+00
MFSD14B,3.16E-01,5.90E-01,1.30E+00
ZNF341,2.18E-01,4.80E-01,1.30E+00
BRF2,4.99E-01,7.53E-01,1.30E+00
ELL,1.83E-01,4.37E-01,1.30E+00
GORAB,2.28E-01,4.91E-01,1.30E+00
AC024940.6,8.73E-01,9.56E-01,1.30E+00
GMIP,8.11E-01,9.33E-01,1.30E+00
GLOD4,1.16E-01,3.36E-01,1.30E+00
CCND1,6.27E-03,4.88E-02,1.30E+00
TTC1,9.06E-04,1.22E-02,1.30E+00
CCDC85B,3.81E-01,6.52E-01,1.30E+00
CYB561D2,6.36E-01,8.39E-01,1.30E+00
C1GALT1,9.81E-02,3.02E-01,1.30E+00
ADCY9,1.62E-01,4.06E-01,1.30E+00
MAGED2,1.32E-02,8.25E-02,1.30E+00
EEF1AKMT1,1.47E-01,3.84E-01,1.30E+00
SLC16A7,1.49E-01,3.87E-01,1.30E+00
FLII,7.52E-03,5.57E-02,1.30E+00
PIK3C2A,3.12E-02,1.48E-01,1.30E+00
HSP90AA2P,1.21E-03,1.51E-02,1.30E+00
UTP3,6.91E-02,2.43E-01,1.30E+00
C3orf58,2.43E-01,5.08E-01,1.30E+00
MRM3,4.55E-02,1.88E-01,1.30E+00
NUDCD2,2.10E-01,4.72E-01,1.30E+00
AL355987.4,3.50E-01,6.24E-01,1.30E+00
TSFM,3.03E-01,5.77E-01,1.30E+00
HOOK2,3.14E-01,5.88E-01,1.30E+00
KDM3B,1.57E-02,9.24E-02,1.30E+00
AIDA,3.20E-01,5.94E-01,1.30E+00
STX2,1.13E-02,7.46E-02,1.30E+00
MRPL30,1.58E-02,9.28E-02,1.30E+00
MT-TQ,2.27E-01,4.90E-01,1.30E+00
C18orf21,3.81E-01,6.52E-01,1.30E+00
TSG101,3.08E-02,1.46E-01,1.30E+00
MYDGF,3.21E-01,5.95E-01,1.30E+00
CTR9,4.27E-03,3.75E-02,1.30E+00
MFSD5,6.20E-03,4.86E-02,1.30E+00
CWC15,5.26E-04,8.41E-03,1.30E+00
ZBTB8A,8.51E-02,2.77E-01,1.30E+00
CLIC1,1.45E-02,8.81E-02,1.30E+00
S100A3,1.01E-01,3.06E-01,1.30E+00
ARMCX5-GPRASP2,4.38E-01,7.02E-01,1.30E+00
AC141586.1,1.98E-02,1.08E-01,1.30E+00
FNBP4,9.93E-04,1.29E-02,1.30E+00
LNPEP,5.57E-02,2.13E-01,1.30E+00
USP53,1.28E-02,8.11E-02,1.30E+00
SEMA4C,2.57E-01,5.25E-01,1.30E+00
FAM213B,4.39E-02,1.83E-01,1.30E+00
EXOSC2,1.68E-03,1.92E-02,1.30E+00
AMBRA1,1.63E-01,4.09E-01,1.30E+00
ZFP91,1.67E-04,3.66E-03,1.30E+00
TMEM170A,6.95E-02,2.44E-01,1.30E+00
MAPRE2,1.74E-02,9.93E-02,1.30E+00
SLC43A2,2.40E-01,5.04E-01,1.30E+00
ZNF780B,8.70E-02,2.81E-01,1.30E+00
AC026250.1,4.66E-01,7.25E-01,1.30E+00
TMX3,4.41E-03,3.82E-02,1.30E+00
RARS,3.34E-03,3.13E-02,1.30E+00
AC096664.2,5.58E-01,7.91E-01,1.30E+00
RTRAF,2.98E-02,1.43E-01,1.30E+00
NCBP3,9.01E-04,1.21E-02,1.30E+00
VGLL4,1.70E-02,9.77E-02,1.30E+00
AP001024.1,1.81E-01,4.34E-01,1.30E+00
TMEM17,2.70E-01,5.41E-01,1.30E+00
SEPSECS-AS1,3.15E-01,5.89E-01,1.30E+00
HNRNPM,2.64E-03,2.68E-02,1.30E+00
LIG1,1.53E-02,9.11E-02,1.30E+00
ZNF688,1.67E-01,4.14E-01,1.30E+00
ZPR1,5.51E-03,4.47E-02,1.30E+00
AP002495.2,2.77E-01,5.49E-01,1.30E+00
ANO10,1.87E-02,1.04E-01,1.30E+00
RIF1,1.02E-03,1.33E-02,1.30E+00
PWWP2A,1.28E-02,8.11E-02,1.30E+00
FRMD6,1.81E-01,4.34E-01,1.30E+00
ZFHX2-AS1,1.07E-01,3.20E-01,1.30E+00
UACA,2.07E-03,2.23E-02,1.30E+00
MYL6P3,3.50E-01,6.24E-01,1.30E+00
UAP1,1.58E-01,4.02E-01,1.30E+00
RBM3,8.53E-03,6.14E-02,1.29E+00
YBEY,2.74E-01,5.46E-01,1.29E+00
RRP8,2.97E-02,1.43E-01,1.29E+00
HOOK3,3.68E-03,3.38E-02,1.29E+00
GNAS,2.17E-01,4.79E-01,1.29E+00
AC020916.1,1.97E-01,4.54E-01,1.29E+00
SIRT6,1.26E-01,3.51E-01,1.29E+00
EIF4E2,1.76E-02,9.99E-02,1.29E+00
UPF3AP1,8.07E-01,9.31E-01,1.29E+00
SMIM37,7.91E-01,9.25E-01,1.29E+00
TEP1,4.32E-01,6.96E-01,1.29E+00
RPA2,1.14E-02,7.50E-02,1.29E+00
LSS,2.35E-01,4.99E-01,1.29E+00
ZFPL1,1.12E-01,3.27E-01,1.29E+00
Sep-11,5.54E-04,8.71E-03,1.29E+00
NAMPTP1,4.25E-02,1.80E-01,1.29E+00
HMGCL,2.31E-01,4.94E-01,1.29E+00
MTF2,8.26E-03,5.99E-02,1.29E+00
SYT13,9.06E-01,9.67E-01,1.29E+00
C8orf58,1.03E-01,3.10E-01,1.29E+00
EFHC1,9.54E-02,2.98E-01,1.29E+00
CENPT,1.49E-01,3.87E-01,1.29E+00
REX1BD,5.43E-02,2.10E-01,1.29E+00
AC019205.1,4.59E-01,7.19E-01,1.29E+00
PATL1,3.21E-01,5.95E-01,1.29E+00
AC007161.1,3.36E-01,6.11E-01,1.29E+00
CWF19L2,2.02E-02,1.09E-01,1.29E+00
ANKRD16,1.70E-01,4.19E-01,1.29E+00
AL450309.1,1.43E-01,3.79E-01,1.29E+00
MCM2,4.25E-01,6.90E-01,1.29E+00
ZGPAT,9.52E-02,2.97E-01,1.29E+00
RPL24,1.29E-02,8.13E-02,1.29E+00
ZFC3H1,5.87E-03,4.66E-02,1.29E+00
HMOX1,9.01E-02,2.87E-01,1.29E+00
TM7SF3,2.47E-01,5.14E-01,1.29E+00
THOC3,7.03E-01,8.80E-01,1.29E+00
AP3B1,8.79E-03,6.27E-02,1.29E+00
TNKS,8.56E-02,2.79E-01,1.29E+00
KDM1B,3.49E-01,6.23E-01,1.29E+00
SLC2A6,5.48E-02,2.11E-01,1.29E+00
TYK2,7.29E-02,2.53E-01,1.29E+00
WWP1P1,2.89E-02,1.41E-01,1.29E+00
TBRG1,1.26E-02,8.01E-02,1.29E+00
WDR70,3.00E-02,1.44E-01,1.29E+00
SPACA6,1.49E-01,3.87E-01,1.29E+00
IFNGR1,6.37E-01,8.40E-01,1.29E+00
DANCR,2.81E-02,1.38E-01,1.29E+00
METTL4,2.80E-01,5.52E-01,1.29E+00
SPCS2P4,1.20E-01,3.41E-01,1.29E+00
